name,n_alcohol,temperature_K,cutoff_cm1,alcohol_activity,delta_G_standard_1M_kcal_mol,effective_association_kcal_mol,log_activity_ratio_complex_to_bare
hemiaminal_tbuoh_1_seed_02,1,380.0,100.0,0.01,3.681537515612945,7.159074761650248,-9.480490162737963
hemiaminal_tbuoh_1_seed_02,1,380.0,100.0,0.05,3.681537515612945,5.943727649679568,-7.871052250303863
hemiaminal_tbuoh_1_seed_02,1,380.0,100.0,0.1,3.681537515612945,5.420306138631597,-7.177905069743918
hemiaminal_tbuoh_1_seed_02,1,380.0,100.0,1.0,3.681537515612945,3.681537515612945,-4.875319976749872
hemiaminal_tbuoh_1_seed_02,1,380.0,150.0,0.001,3.8499910033260676,9.066296872382022,-12.006151796530002
hemiaminal_tbuoh_1_seed_02,1,380.0,150.0,0.01,3.8499910033260676,7.327528249363371,-9.703566703535957
hemiaminal_tbuoh_1_seed_02,1,380.0,150.0,0.05,3.8499910033260676,6.112181137392691,-8.094128791101857
hemiaminal_tbuoh_1_seed_02,1,380.0,150.0,0.1,3.8499910033260676,5.58875962634472,-7.400981610541912
hemiaminal_tbuoh_1_seed_02,1,380.0,150.0,1.0,3.8499910033260676,3.8499910033260676,-5.098396517547866
hemiaminal_tbuoh_1_seed_02,1,383.15,50.0,0.001,3.175923152357427,8.435469451643716,-11.078932538951431
hemiaminal_tbuoh_1_seed_02,1,383.15,50.0,0.01,3.175923152357427,6.682287351881619,-8.776347445957384
hemiaminal_tbuoh_1_seed_02,1,383.15,50.0,0.05,3.175923152357427,5.456865652009077,-7.166909533523284
hemiaminal_tbuoh_1_seed_02,1,383.15,50.0,0.1,3.175923152357427,4.929105252119523,-6.473762352963338
hemiaminal_tbuoh_1_seed_02,1,383.15,50.0,1.0,3.175923152357427,3.175923152357427,-4.1711772599692925
hemiaminal_tbuoh_1_seed_02,1,383.15,100.0,0.001,3.7977257127968187,9.057272012083107,-11.895592318130992
hemiaminal_tbuoh_1_seed_02,1,383.15,100.0,0.01,3.7977257127968187,7.30408991232101,-9.593007225136944
hemiaminal_tbuoh_1_seed_02,1,383.15,100.0,0.05,3.7977257127968187,6.078668212448468,-7.983569312702845
hemiaminal_tbuoh_1_seed_02,1,383.15,100.0,0.1,3.7977257127968187,5.550907812558915,-7.2904221321429
hemiaminal_tbuoh_1_seed_02,1,383.15,100.0,1.0,3.7977257127968187,3.7977257127968187,-4.987837039148853
hemiaminal_tbuoh_1_seed_02,1,383.15,150.0,0.001,3.9691352485278912,9.22868154781418,-12.120717273390891
hemiaminal_tbuoh_1_seed_02,1,383.15,150.0,0.01,3.9691352485278912,7.475499448052083,-9.818132180396844
hemiaminal_tbuoh_1_seed_02,1,383.15,150.0,0.05,3.9691352485278912,6.250077748179541,-8.208694267962745
